CustomerID,Lookalike1_ID,Lookalike1_Score,Lookalike2_ID,Lookalike2_Score,Lookalike3_ID,Lookalike3_Score
C0001,C0174,0.905,C0152,0.894,C0107,0.876
C0002,C0159,0.915,C0106,0.893,C0007,0.849
C0003,C0151,0.885,C0129,0.872,C0144,0.829
C0004,C0113,0.967,C0102,0.948,C0104,0.947
C0005,C0007,0.953,C0159,0.898,C0140,0.864
C0006,C0003,0.813,C0129,0.767,C0190,0.731
C0007,C0005,0.953,C0159,0.923,C0002,0.849
C0008,C0024,0.903,C0194,0.887,C0098,0.881
C0009,C0119,0.893,C0058,0.886,C0061,0.856
C0010,C0073,0.865,C0062,0.846,C0132,0.814
C0011,C0174,0.898,C0107,0.891,C0153,0.853
C0012,C0195,0.905,C0039,0.902,C0013,0.9
C0013,C0087,0.915,C0012,0.9,C0054,0.846
C0014,C0015,0.866,C0063,0.862,C0123,0.859
C0015,C0033,0.91,C0058,0.887,C0123,0.87
C0016,C0183,0.897,C0154,0.861,C0189,0.829
C0017,C0075,0.927,C0051,0.899,C0124,0.883
C0018,C0117,0.861,C0114,0.854,C0182,0.833
C0019,C0103,0.839,C0164,0.837,C0119,0.794
C0020,C0050,0.905,C0036,0.871,C0080,0.828
